序號,綠色商店名稱,聯絡地址,商店編號,聯絡人,聯絡電話,分機,手機號碼,綠色商店類型,經度,緯度
507,7-11萬美門市,116台北市文山區萬和街6號2樓之1,A000654,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.567363283395,25.001933274326
508,7-11萬翔門市,100台北市中正區公園路13號,A000282,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517403452432,25.04548954081
509,7-11萬華門市,108台北市萬華區萬大路64號莒光路251號,A000726,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.500357259764,25.031020657639
510,7-11萬華站門市,108台北市萬華區康定路382號,A000317,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.50032557617,25.033382887502
511,7-11萬瑞門市,116台北市文山區羅斯福路6段29.31號,A000507,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.540009361478,24.999886078294
512,7-11萬運門市,108台北市萬華區西園路一段153號B1(捷運龍山寺站B1),A000526,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.499460144667,25.035852908639
513,7-11萬福門市,116台北市文山區萬年里羅斯福路5段170巷33及35號,A000721,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.536652744532,25.004626547454
514,7-11經貿門市,115台北市南港區三重路一段19號1樓,A000903,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.613834650076,25.055598870411
515,7-11義安門市,106台北市大安區信義路三段166號,A000385,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.541755982461,25.033214536977
516,7-11義村門市,106台北市大安區忠孝東路三段160號,A000635,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.538345888973,25.04146593392
517,7-11葫東門市,111台北市士林區延平北路五段222號,A000259,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.510074986848,25.084064148871
518,7-11試院門市,116台北市文山區木柵路1段139號.,A000884,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550282724924,24.987620755559
519,7-11試院門市,116台北市文山區木柵路1段139號.,A000771,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550282724924,24.987620755559
520,7-11誠義門市,111台北市士林區忠誠路一段126號,A000471,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.528776437756,25.105788826526
521,7-11農安門市,104台北市中山區農安街28-2號,A000355,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526415926184,25.064815569234
522,7-11運通門市,100台北市中正區忠孝西路1段49號U1,A000488,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517243441901,25.046481413323
523,7-11道生門市,110台北市信義區新仁里東興路57號,A000218,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.566640092789,25.047457024943
524,7-11達人門市,114台北市內湖區內湖路2段249.251號,A000524,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.589699378977,25.081969595087
525,7-11僑信門市,106台北市大安區信義路四段197號,A000571,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.551438337914,25.033412936625
526,7-11嘉馥門市,110台北市信義區信義路6段11號,A000889,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.575154597673,25.034185203274
527,7-11寧波門市,100台北市中正區寧波西街3號,A000537,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.5187047429,25.031491259593
528,7-11實踐大學門市,105台北市中山區大直街70號1樓,A000505,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.546234181871,25.083586548028
529,7-11榮金門市,104台北市中山區龍江路384巷1號,A000531,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.540872446048,25.066877810781
530,7-11榮星門市,104台北市中山區龍江路322號,A000560,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.540828860151,25.064848384384
531,7-11榮總門市,111台北市士林區石牌路2段301號,A000370,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522798212954,25.121376358495
532,7-11榮鑫門市,104台北市中山區建國北路三段91號,A000478,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.536772773385,25.06570669127
533,7-11漢竹門市,100台北市中正區漢口街一段70號,A000409,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.512384315845,25.045119353068
534,7-11漢神門市,116台北市文山區景中街45號1樓,A000237,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.544055138502,24.992757688739
535,7-11漢陽門市,108台北市萬華區昆明街173號1F,A000264,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.504320475042,25.039876766987
536,7-11漢寧門市,108台北市萬華區西寧南路85號,A000414,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.506845355736,25.045543939362
537,7-11滬江門市,116台北市文山區羅斯福路六段308.310號,A000558,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.541246743888,24.994014034696
538,7-11碧綠門市,114台北市內湖區內湖路三段60巷1弄2-1號1F,A000363,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.592398854714,25.086228356271
539,7-11福中門市,110台北市信義區福德街189號,A000841,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.584168663986,25.038214928954
540,7-11福州門市,100台北市中正區南昌路1段135號,A000322,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.518491339646,25.029664842891
541,7-11福志門市,112台北市士林區雨農路25號,A000244,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.532228943674,25.098570666787
542,7-11福芝門市,112台北市士林區福國路94號,A000267,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522302171924,25.102117469116
543,7-11福致門市,112台北市北投區致遠一路二段55號,A000329,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.513504274894,25.11214432079
544,7-11福氣門市,111台北市士林區延平北路6段148號,A000549,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.507034032376,25.089675497771
545,7-11福捷門市,111台北市士林區中正路235巷14號,A000521,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526058102737,25.094770437616
546,7-11福通門市,111台北市士林區大南路396號,A000762,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515727826169,25.089446923271
547,7-11福湖門市,114台北市內湖區內湖路一段411巷19弄1號,A000647,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.57136488779,25.082547778768
548,7-11福陽門市,111台北市士林區延平北路五段259號,A000281,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.509636194217,25.08501654262
549,7-11福順門市,111台北市士林區福順里重慶北路四段117號,A000215,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.512202732969,25.082433575337
550,7-11福溢門市,111台北市士林區德行西路96號,A000185,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.521233563088,25.104108087301
551,7-11福源門市,105台北市松山區撫遠街306號,A000186,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.566220494717,25.06175655176
552,7-11福榮門市,112台北市士林區中正路220.222號,A000607,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526078889857,25.095519570213
553,7-11福鑫門市,112台北市士林區中正路324號,A000408,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.52253803868,25.094713985498
554,7-11福讚門市,111台北市士林區中正路227號,A000411,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526190033893,25.095223982397
555,7-11聚鑫門市,111台北市士林區延平北路六段350號,A000886,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.501307683765,25.090676213191
556,7-11鳳翔門市,106台北市大安區忠孝東路4段216巷68號,A000901,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.552844485991,25.038291707187
557,7-11墘都門市,114台北市內湖區內湖路一段669號,A000843,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.575936377782,25.079981784839
558,7-11億翔門市,100台北市中正區忠孝西路1段32號,A000572,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517210743769,25.046131431057
559,7-11劍潭站門市,111台北市士林區中山北路五段65號1樓,A000867,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.525189821387,25.085050112142
560,7-11廣明門市,108台北市萬華區福音里昆明街304號,A000480,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.503421851203,25.036431511415
561,7-11影城門市,105台北市松山區八德路四段245巷35號,A000211,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.564371195419,25.050568680768
562,7-11德天門市,111台北市士林區德行西路52號1樓,A000853,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523426939511,25.104647462771
563,7-11德成門市,114台北市內湖區內湖路2段366號,A000183,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.590935542058,25.082346696911
564,7-11德行門市,112台北市士林區忠誠路二段5號,A000413,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.530611990732,25.108785566459
565,7-11德東門市,112台北市士林區德行東路282號,A000497,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.535787564486,25.109929444785
566,7-11德芝門市,112台北市士林區德行東路330號,A000419,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.537519517139,25.110220674011
567,7-11德致門市,112台北市北投區明德路33.35號,A000407,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517756414375,25.10736747417
568,7-11德倫門市,103台北市大同區庫倫街48-4.5號,A000290,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.518290006331,25.071811608538
569,7-11德華門市,111台北市士林區文林路663號,A000633,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522371071168,25.100742501719
570,7-11德福門市,114台北市內湖區成功路4段30巷27.29.31號,A000286,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.591943549734,25.082356797104
571,7-11德鄰門市,110台北市信義區安康里松德路129.131號,A000327,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.57519726156,25.037450247927
572,7-11德馨門市,114台北市內湖區洲子街46號,A000297,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.573211756336,25.078814898189
573,7-11慶吉門市,103台北市大同區蓬萊里重慶北路三段53-1號,A000794,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.513905013685,25.065827935499
574,7-11撫順門市,104台北市中山區中山北路三段23-6號,A000412,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522608027571,25.064853874531
575,7-11樂安門市,106台北市大安區樂業街71.73號,A000679,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550910948567,25.021963508344
576,7-11樂利門市,106台北市大安區樂利路74號,A000763,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.551906718664,25.025758456916
577,7-11樂和門市,106台北市大安區樂利路29.29-1號,A000475,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.551550152503,25.027396071249
578,7-11樂得門市,105台北市松山區復興北路35號,A000371,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.544219088528,25.050083242846
579,7-11樂隆門市,106台北市大安區虎嘯里樂業街43號,A000561,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.55004325395,25.02270920436
580,7-11潤泰門市,104台北市中山區八德路二段314號,A000199,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.542835739228,25.047179835405
581,7-11稻江門市,104台北市中山區新生北路3段35號,A000324,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.528027933802,25.06501409461
582,7-11稻埕門市,103台北市大同區南京西路436號1F,A000305,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.508812588411,25.053280435993
583,7-11鄭州門市,103台北市大同區鄭州路3-2號,A000188,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515791612452,25.049106667307
584,7-11黎元門市,106台北市大安區臥龍街188巷1號,A000391,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550848000474,25.018008633059
585,7-11憩賢門市,116台北市文山區指南路二段64號(憩賢樓A8櫃),A000719,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.576504251722,24.987419212697
586,7-11興北門市,116台北市文山區興隆路三段108號,A000757,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.557317237164,24.999283670913
587,7-11興岩門市,116台北市文山區興隆路2段244巷20號1樓,A000435,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.553188395478,25.000117083546
588,7-11興舍門市,106台北市大安區長興街50號,A000440,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.545007909436,25.016500728678
589,7-11興芳門市,116台北市文山區興光里興隆路3段173-175號,A000744,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.560143112,24.996429255696
590,7-11興信鑫門市,100台北市中正區信陽街12.14號1樓,A000835,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515819105094,25.044599801788
591,7-11興復門市,104台北市中山區興安街99號一樓,A000668,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.543566473547,25.056154297225
592,7-11興貿門市,110台北市信義區景新里莊敬路178巷2號,A000650,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.561032431927,25.031238293755
593,7-11興隆門市,116台北市文山區興隆路2段150號,A000872,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550973477564,25.001419379842
594,7-11豫銘門市,106台北市大安區大安路2段102號,A000182,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.545956489419,25.030796609368
595,7-11豫鋒門市,111台北市士林區大南路322號,A000892,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.518314230031,25.089051339351
596,7-11錢京門市,105台北市松山區南京東路三段335巷5號之3.4.9.10.11.12,A000473,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.547494903927,25.052490693076
597,7-11錢忠門市,106台北市大安區忠孝東路四段26巷5號,A000433,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.54452025031,25.041230821536
598,7-11錦北門市,104台北市中山區錦州街8號,A000536,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.523697255889,25.060265243547
599,7-11錦合門市,104台北市中山區合江街117號,A000219,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.539318441199,25.060349314036
600,7-11錦龍門市,104台北市中山區龍江路281-1號,A000321,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.540845540138,25.060144586051
601,7-11靜中門市,103台北市大同區寧夏路71號,A000261,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515191384365,25.058503241771
602,7-11靜安門市,106台北市大安區光復南路262號,A000422,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.5574006371,25.040184257105
603,7-11龍山門市,108台北市萬華區康定路229號,A000275,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.501369290753,25.035428826248
604,7-11龍延門市,106台北市大安區師大路59巷13號.,A000396,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.529312209007,25.023987067409
605,7-11龍門門市,106台北市大安區和平東路2段18號,A000301,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.535997028247,25.025693832443
606,7-11龍淵門市,106台北市大安區和平東路二段118巷33號,A000552,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.542923078659,25.023519734397
607,7-11龍普門市,106台北市大安區敦化南路一段233巷25號,A000547,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.550569637469,25.040497949831
608,7-11龍廣門市,108台北市萬華區廣州街148號,A000642,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.500590109034,25.036571153922
609,7-11擎天崗門市,112台北市北投區湖山路一段12號,A000664,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.547463471791,25.152532982245
610,7-11濟南門市,106台北市大安區濟南路3段7號,A000269,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.533531575247,25.04025483273
611,7-11濟新門市,100台北市中正區濟南路2段50號,A000756,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531242645127,25.040240583494
612,7-11環湖門市,114台北市內湖區環山路一段110號,A000580,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.568017658576,25.086529895238
613,7-11篷萊門市,103台北市大同區寧夏路131-1號,A000634,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.514490154346,25.060680315392
614,7-11總站門市,110台北市信義區吳興街487號,A000397,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.569696218506,25.023525308363
615,7-11總部門市,110台北市信義區東興路65號,A000415,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.566600446387,25.047010101866
616,7-11聰明門市,105台北市松山區南京東路5段363號,A000310,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.568475729585,25.051519817231
617,7-11聯合門市,110台北市信義區忠孝東路四段559巷6號,A000801,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.563701229898,25.041859673821
618,7-11聯成門市,115台北市南港區聯成里昆陽街150-1.150-3號,A000515,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.594189564508,25.049186714482
619,7-11聯坊門市,115台北市南港區東新街118巷1號,A000810,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.588378810132,25.046480156037
620,7-11臨江門市,106台北市大安區安和路二段67號,A000644,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.552567631729,25.030577757876
621,7-11臨沂門市,100台北市中正區文祥里臨沂街74.76號,A000656,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.527802041512,25.03452571809
622,7-11薇閣門市,112台北市北投區中央北路一段108號,A000197,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.499525858788,25.134903492934
623,7-11豐安門市,106台北市大安區東豐街9號,A000562,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.544273980789,25.036128448277
624,7-11醫學門市,110台北市信義區吳興街257.259號,A000474,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.56377641557,25.027101070167
625,7-11雙全門市,112台北市北投區中庸里大業路715-717號,A000766,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.500863275258,25.137234584027
626,7-11雙連門市,103台北市大同區民生西路176號,A000803,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517542759663,25.057138374568
627,7-11雙環門市,108台北市萬華區環河南路二段207號,A000213,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.491564727152,25.032063575942
628,7-11懷生門市,106台北市大安區忠孝東路3段248巷9號,A000365,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.541429591152,25.041034433544
629,7-11懷得門市,112台北市北投區懷德街85號1樓,A000730,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.51967955824,25.11409378383
630,7-11羅亭門市,100台北市中正區羅斯福路二段68號,A000395,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.521916772016,25.027421845602
631,7-11羅捷門市,116台北市文山區景行里羅斯福路6段391號,A000611,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.540804217356,24.99227539403
632,7-11羅斯福門市,116台北市文山區羅斯福路五段190-3號.,A000620,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.538465163456,25.003658982461
633,7-11藝文門市,116台北市文山區指南路二段64號藝文中心4樓,A000708,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.576504251722,24.987419212697
634,7-11關渡門市,112台北市北投區知行路282號,A000326,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.467462816028,25.121517635473
635,7-11鵬馳門市,115台北市南港區南港路三段49-1號,A000245,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.589896437521,25.053249087675
636,7-11麗安門市,114台北市內湖區內湖路一段435號,A000802,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.571974419789,25.081345269029
637,7-11寶昌門市,108台北市萬華區寶興街186號,A000530,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.495295009341,25.023727144591
638,7-11寶德門市,105台北市松山區八德路四段335號1F,A000817,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.567430087164,25.049313867953
639,7-11瓏山林門市,114台北市內湖區康樂街125巷2號,A000333,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.61968278774,25.073428938665
640,7-11瓏馬門市,114台北市內湖區康樂街213號,A000520,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.622087052847,25.075771219598
641,7-11耀港門市,115台北市南港區研究院路一段99號1樓之14,A000386,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.61637160071,25.052304908192
642,7-11警廣門市,100台北市中正區延平南路159號,A000390,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.507773148598,25.035286333894
643,7-11馨瑩門市,114台北市內湖區內湖路一段91巷2號,A000378,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.561427722481,25.084631477988
644,7-11鐏賢門市,112台北市北投區尊賢街247號,A000705,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.506908387647,25.117397678605
645,7-11蘭雅門市,111台北市士林區中山北路6段150號,A000243,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.525028218294,25.106393538931
646,7-11護專門市,112台北市北投區振興街31號,A000816,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.522346596011,25.117987387403
647,7-11權東門市,104台北市中山區民權東路3段73號,A000541,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.543572089422,25.062539379607
648,7-11權松門市,104台北市中山區松江路363號,A000621,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.533458317413,25.063826253202
649,7-11權站門市,104台北市中山區民權西路72號,A000587,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.519870496252,25.062690283127
650,7-11權鑫門市,103台北市大同區民權西路157之1號1樓,A000851,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.51638731431,25.063141032617
651,7-11歡唱門市,104台北市中山區林森北路310巷17號,A000246,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.524914392049,25.056320803732
652,7-11麟光門市,106台北市大安區臥龍街275號,A000382,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.557749743367,25.018138845925
653,7-11鑫大孝門市,100台北市中正區黎明里重慶南路一段1-1號一樓,A000904,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.513383324031,25.046697834063
654,7-11鑫公信門市,100台北市中正區信陽街2-1號,A000699,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.51668428514,25.044595066013
655,7-11鑫太原門市,103台北市大同區太原路40.42.44號,A000706,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515113600304,25.050381261413
656,7-11鑫文德門市,114台北市內湖區文德路99號1樓,A000748,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.583364671834,25.078699688929
657,7-11鑫北科門市,106台北市大安區忠孝東路3段1號第六教學大樓B4,A000685,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.5355145659,25.042213893049
658,7-11鑫台北門市,100台北市中正區黎明里忠孝西路一段35號一樓,A000673,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.518712621889,25.046090481359
659,7-11鑫生門市,104台北市中山區南京東路二段23號,A000459,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.528854640913,25.052280684492
660,7-11鑫仰德門市,111台北市士林區仰德大道三段68.70號,A000870,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.552866865673,25.118847496397
661,7-11鑫吉門市,110台北市信義區虎林街85號,A000683,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.577254599695,25.044667401838
662,7-11鑫安江門市,104台北市中山區長安東路二段178.178-1號1樓,A000859,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.54058486295,25.048217473108
663,7-11鑫江南門市,114台北市內湖區文德路6號1樓,A000825,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.578948414688,25.078441945407
664,7-11鑫杭門市,100台北市中正區杭州南路1段23號,A000725,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.52646303248,25.042255593018
665,7-11鑫東一門市,104台北市中山區一江街11.13號,A000665,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.531583620949,25.051248830301
666,7-11鑫武昌門市,108台北市萬華區武昌街二段57號1樓,A000854,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.507189432861,25.044902849498
667,7-11鑫長安門市,104台北市中山區長安東路一段53巷1之3號,A000698,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.526661432128,25.048953278479
668,7-11鑫青天門市,108台北市萬華區青年路144號,A000848,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.502436223208,25.021628902769
669,7-11鑫泉州門市,100台北市中正區汀州路一段285號一樓,A000784,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.513805436675,25.026352608123
670,7-11鑫重寧門市,100台北市中正區寧波西街86號1樓,A000834,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.515905103421,25.029868062134
671,7-11鑫國語門市,100台北市中正區福州街11-3.11-4號,A000709,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.519379821382,25.029367536786
672,7-11鑫湖門市,114台北市內湖區內湖路二段103巷64號,A000464,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.580988905197,25.082743873393
673,7-11鑫華福門市,100台北市中正區懷寧街30.32號1樓,A000863,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.514051864629,25.045419007095
674,7-11鑫碁泰門市,114台北市內湖區康寧路三段63.65.67號,A000602,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.608460928131,25.072297507465
675,7-11鑫壽門市,105台北市松山區延壽街323號,A000591,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.560537312906,25.056799997136
676,7-11鑫寧門市,103台北市大同區民生西路214.216號1樓,A000829,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.514991224518,25.056903178364
677,7-11鑫德惠門市,104台北市中山區德惠街15號1樓,A000723,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.52609682713,25.066749651482
678,7-11鑫樂昇門市,108台北市萬華區武昌街二段114之3號,A000707,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.504923552975,25.045102129246
679,7-11鑫輝煌門市,114台北市內湖區東湖路119巷49弄2號1樓,A000852,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.617113399141,25.069852129123
680,7-11鑫衡陽門市,100台北市中正區衡陽路6號1樓,A000842,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.513770735596,25.04223032158
681,7-11鑫錦州門市,104台北市中山區錦州街263號,A000710,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.534969323098,25.060378524969
682,7-11鑫櫃門市,104台北市中山區松江路183.183-1號1樓,A000868,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.533318088173,25.056405251406
683,7-11鑫寶門市,108台北市萬華區寶興街41號1樓,A000830,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.493365830506,25.027464844765
684,7-11鑫鑫運門市,100台北市中正區忠孝西路一段49號B1,A000682,廖培雁,(02)27478711,3961.0,,連鎖型綠色商店,121.517243441901,25.046481413323
685,大同綜合訊電股份有限公司-大同3C_仁愛服務站,103台北市大同區重慶北路三段133號,A001455,林蔚山,,,930255170.0,連鎖型綠色商店,121.513944492449,25.067912305271
686,大同綜合訊電股份有限公司-大同3C_台北中山門市,104臺北市中山區台北市中山北路三段13號,A001458,陳澤義,(02)25911834,,,連鎖型綠色商店,121.522548013144,25.064178125497
